# 2006 6 3 14 12 39.81  -7.9142 110.4738    9.39   1.54 0  0 0 1
TRI  4.85 0.7 P
RAT  3.62 0.7 P
RAT  6.26 0.5 S
PEL  4.98 0.7 P
PAL  1.87 1   P
PAL  3.03 0.5 S
NGL  3.21 0.7 P
NGL  5.32 0.5 S
# 2006 6 3 16 14 20.77  -7.9537 110.4705    5.50   0.15 0 0 0 57
WON   2.40 0.7 P
WON   3.82 0.7 S
WAN   2.11 1   P
WAN   3.28 0.5 S
RAT   3.55 0.7 P
RAT   6.57 0.5 S
PAL   1.86 1   P
PAL   2.78 0.5 S
NGL   3.16 0.7 P
NGL   5.68 0.5 S
# 2006 6 3 16 16  4.80  -7.9725 110.4085    6.12   1.14 0 0 0 58
WON   2.93  1   P
WON   4.42  0.7 S
WAN   3.56  1   P
WAN   5.95  0.5 S
TRI   3.69  1   P
TRI   5.73  0.7 S
RAT   2.26  1   P
RAT   3.99  0.5 S
PEL   4.41  0.7 P
PEL   7.06  0.7 S
PAL   2.41  1   P
PAL   4.15  0.5 S
NGL   4.58  1   P
NGL   7.88  0.7 S
DES   6.16  0.7 P
BUM   5.32  0.7 P
BUM   9.65  0.7 S
# 2006 6 3 16 18 36.10  -7.9410 110.4682    2.81   0.75 0 0 0 59
WON  2.07 0.7 P 
WON  3.00 0.7 S 
WAN  1.82 1   P 
WAN  3.01 0.7 S 
TRI  4.59 0.7 P 
TRI  7.39 0.5 S 
PEL  4.70 1   P 
PAL  1.62 0.7 P 
PAL  2.79 0.7 S 
NGL  2.87 1   P 
NGL  5.27 0.7 S 
BUM  6.45 0.7 P 
BUM 11.71 0.5 S 
# 2006 6 3 16 26 39.04  -7.9727 110.4353    7.33   0.00 0 0 0 60
WON  2.76  1   P
WON  4.62  0.5 S
WAN  3.10  1   P
WAN  5.07  0.7 S
TRI  4.21  0.5 P
TRI  6.92  0.7 S
RAT  2.94  1   P
RAT  5.09  0.7 S
PEL  4.68  0.7 P
PEL  8.54  0.7 S
PAL  2.24  1   P
PAL  3.81  0.7 S
NGL  4.07  1   P
NGL  7.01  0.7 S
BUM  5.83  0.7 P
BUM 10.07  0.5 S
# 2006 6 3 16 40 17.27  -8.8835 110.6467   15.00   2.49 0 0 0 61
WON  18.23 0.7   P
WON  32.29 0.5   S
WAN  17.87 0.5   P
WAN  31.78 0.5   S
TRI  18.65 1     P
TRI  33.08 0.7   S
RAT  16.89 1     P
RAT  29.58 0.5   S
PEL  34.24 0.5   S
PAL  16.95 0.7   P
PAL  29.84 0.5   S
NGL  18.22 0.7   P
DES  32.41 0.5   S
BUM  19.02 0.7   P
# 2006 6 3  7 21 44.78  -7.9333 110.4657    6.41  -0.36 0 0 0 62
WON   2.15    0.7   P
WON   3.26    0.7   S
WAN   2.04    1     P
WAN   3.80    0.5   S
PAL   1.95    0.7   P
PAL   3.74    0.5   S
NGL   3.18    0.5   P
NGL   5.31    0.7   S
# 2006 6 3  7 30 58.82  -7.9097 110.4913   10.99   0.76 0 0 0 63
WON   2.73    1     P
WON   4.75    0.7   S
WAN   2.43    1     P
WAN   4.24    0.7   S
TRI   5.53    0.7   P
TRI   8.71    0.5   S
PEL   4.80    0.7   P
PAL   2.91    1     P
PAL   5.15    0.5   S
NGL   2.76    0.7   P
NGL   4.96    0.7   S
# 2006 6 3  7 32 14.89  -7.9803 110.3827    9.94   1.37 0 0 0 64
WON   2.83 0.7   P
WON   5.13 0.7   S
WAN   3.96 0.5   P
WAN   7.23 0.7   S
TRI   2.92 0.7   P
TRI   5.80 0.7   S
PEL   4.12 0.7   P
PEL   7.66 0.7   S
PAL   3.16 1     P
PAL   5.84 0.7   S
NGL   4.97 0.5   P
NGL   9.36 0.7   S
BUM   4.88 0.7   P
BUM   9.06 0.5   S
# 2006 6 3  7 32 15.14  -7.9695 110.3792    6.96   1.26 0 0 0 65
WON   2.59 0.7 P
WON   4.93 0.7 S
WAN   3.72 0.7 P
WAN   7.20 0.7 S
TRI   2.69 1   P
TRI   5.26 0.7 S
PEL   3.83 0.7 P
PEL   6.73 0.5 S
PAL   2.92 0   P
PAL   5.52 0.5 S
NGL   5.21 0.7 P
NGL   9.21 0.7 S
BUM   4.63 1   P
BUM   8.78 0.7 S
# 2006 6 3  7 50  3.88  -7.8835 110.5393   6.31   2.07 0 0 0 66
WON   2.85 1     P
WON   5.08 0.7   S
WAN   1.39 1     P
WAN   2.63 0.7   S
TRI   6.08 1     P
TRI  10.74 0.7   S
PEL   5.62 1     P
PEL  10.27 0.5   S
PAL   3.36 1     P
PAL   5.90 0.7   S
